INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(158,203) + Blob of color:(255, 0, 0), size:4, location:(149,203)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:5, location:(147,69) + Blob of color:(255, 0, 0), size:6, location:(150,79)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:5, location:(740,398) + Blob of color:(255, 0, 0), size:7, location:(729,397)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:7, location:(759,560) + Blob of color:(255, 0, 0), size:6, location:(769,552)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(251,364) + Blob of color:(0, 255, 0), size:6, location:(262,360)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:2, location:(157,200) + Blob of color:(255, 0, 0), size:2, location:(154,201)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(109,207) + Blob of color:(0, 0, 255), size:6, location:(104,215)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(104,215) + Blob of color:(0, 0, 255), size:4, location:(109,207)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(108,208) + Blob of color:(0, 0, 255), size:6, location:(105,215)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(105,215) + Blob of color:(0, 0, 255), size:4, location:(108,208)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(107,208) + Blob of color:(0, 0, 255), size:6, location:(105,215)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(105,215) + Blob of color:(0, 0, 255), size:4, location:(107,208)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(106,207) + Blob of color:(0, 0, 255), size:6, location:(104,214)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(104,214) + Blob of color:(0, 0, 255), size:4, location:(106,207)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(107,206) + Blob of color:(0, 0, 255), size:6, location:(103,215)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(103,215) + Blob of color:(0, 0, 255), size:4, location:(107,206)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(106,206) + Blob of color:(0, 0, 255), size:6, location:(102,214)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(102,214) + Blob of color:(0, 0, 255), size:4, location:(106,206)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(107,205) + Blob of color:(0, 0, 255), size:6, location:(103,214)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(103,214) + Blob of color:(0, 0, 255), size:4, location:(107,205)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(107,204) + Blob of color:(0, 0, 255), size:6, location:(103,212)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(103,212) + Blob of color:(0, 0, 255), size:4, location:(107,204)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:4, location:(106,203) + Blob of color:(0, 0, 255), size:6, location:(102,212)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(102,212) + Blob of color:(0, 0, 255), size:4, location:(106,203)
INFO:root:Blob add op Blob of color:(0, 0, 255), size:6, location:(691,121) + Blob of color:(0, 255, 0), size:6, location:(701,115)
